G,I,GI,II
166.0482,82.8078,111.1504,2.5537
165.7158,82.4153,63.3269,2.5258
165.3826,82.0177,63.3269,2.5258
165.0488,81.6155,63.3269,2.5258
164.7145,81.2087,63.3269,2.5258
164.3797,80.7975,63.3269,2.5258
164.0446,80.3822,0.0000,2.4729
163.7091,79.9629,0.0000,2.4729
163.5787,79.5399,0.0000,2.4729
163.6501,79.1133,0.0000,2.4729
163.9155,78.6832,0.0000,2.4729
164.3621,78.2920,0.0000,2.3961
164.9750,78.0475,0.0000,2.3961
165.7360,78.0263,0.0000,2.3961
166.6226,78.2690,0.0000,2.3961
167.6074,78.7868,0.0000,2.3961
168.6589,79.5677,0.0000,2.2973
169.7438,80.5820,0.0000,2.2973
170.8320,81.7850,0.0000,2.2973
171.8992,83.1219,0.0000,2.2973
172.9279,84.5330,0.0000,2.2973
173.9066,85.9607,408.9151,2.1790
174.8289,87.3536,408.9151,2.1790
175.6916,88.6705,408.9151,2.1790
176.4939,89.8810,408.9151,2.1790
177.2368,90.9654,408.9151,2.1790
177.9221,91.9131,851.9970,2.0442
178.5523,92.7214,851.9970,2.0442
179.1301,93.3934,851.9970,2.0442
179.6587,93.9363,851.9970,2.0442
180.1410,94.3602,851.9970,2.0442
180.5800,94.6768,1326.2096,1.8966
180.9783,94.8984,1326.2096,1.8966
181.3388,95.0375,1326.2096,1.8966
181.6639,95.1058,1326.2096,1.8966
181.9562,95.1143,1326.2096,1.8966
182.2180,95.0727,1418.5978,1.7399
182.4514,94.9901,1418.5978,1.7399
182.6585,94.8742,1418.5978,1.7399
182.8409,94.7316,1418.5978,1.7399
183.0005,94.5679,1418.5978,1.7399
183.1389,94.3877,1498.9553,1.5781
183.2574,94.1950,1498.9553,1.5781
183.3575,93.9927,1498.9553,1.5781
183.4403,93.7832,1498.9553,1.5781
183.5070,93.5684,1498.9553,1.5781
183.5587,93.3497,1564.5895,1.4151
183.5962,93.1279,1564.5895,1.4151
183.6206,92.9038,1564.5895,1.4151
183.6325,92.6778,1564.5895,1.4151
183.6328,92.4501,1564.5895,1.4151
183.6221,92.2208,1613.2233,1.2542
183.6009,91.9898,1613.2233,1.2542
183.5696,91.7634,1613.2233,1.2542
183.5287,91.5468,1613.2233,1.2542
183.4785,91.3428,1613.2233,1.2542
183.4196,91.1524,1643.1262,1.0988
183.3524,90.9754,1643.1262,1.0988
183.2771,90.8110,1643.1262,1.0988
183.1941,90.6575,1643.1262,1.0988
183.1039,90.5132,1643.1262,1.0988
183.0066,90.3760,1653.2165,0.9467
182.9027,90.2442,1653.2165,0.9467
182.7923,90.1157,1653.2165,0.9467
182.6757,89.9889,1653.2165,0.9467
182.5531,89.8621,1653.2165,0.9467
182.4249,89.7340,1643.1262,0.7995
182.2911,89.6033,1643.1262,0.7995
182.1519,89.6242,1643.1262,0.7995
182.0077,89.6965,1643.1262,0.7995
181.8584,89.7952,1643.1262,0.7995
181.7042,89.9099,1613.2233,0.6777
181.5454,90.0341,1613.2233,0.6777
181.3820,90.1628,1613.2233,0.6777
181.2141,90.2918,1613.2233,0.6777
181.0418,90.4179,1613.2233,0.6777
180.8653,90.5385,1564.5895,0.5675
180.6846,90.6515,1564.5895,0.5675
180.4997,90.7553,1564.5895,0.5675
180.3108,90.8485,1564.5895,0.5675
180.1179,90.9304,1564.5895,0.5675
179.9211,91.0000,1498.9553,1.0405
179.7202,91.0569,1498.9553,1.0405
179.5155,91.1007,1498.9553,1.0405
179.3070,91.1312,1498.9553,1.0405
179.0947,91.1482,1498.9553,1.0405
178.8786,91.1518,1418.5978,1.5736
178.6589,91.1419,1418.5978,1.5736
178.4356,91.1187,1418.5978,1.5736
178.2088,91.0823,1418.5978,1.5736
177.9784,91.0328,1418.5978,1.5736
177.7446,90.9705,1326.2096,2.1620
177.5073,90.8955,1326.2096,2.1620
177.2667,90.8081,1326.2096,2.1620
177.0229,90.7085,1326.2096,2.1620
176.7758,90.5970,1326.2096,2.1620
176.5255,90.4738,1224.7496,2.2283
176.2721,90.3392,1224.7496,2.2283
176.0156,90.1933,1224.7496,2.2283
175.7561,90.0365,1224.7496,2.2283
175.4937,89.8691,1224.7496,2.2283
175.2284,89.6911,1117.2868,2.2881
174.9602,89.5030,1117.2868,2.2881
174.6893,89.3050,1117.2868,2.2881
174.4158,89.0972,1117.2868,2.2881
174.1395,88.8799,1117.2868,2.2881
173.8608,88.6534,1006.8487,2.3366
173.5795,88.4178,1006.8487,2.3366
173.2958,88.1735,1006.8487,2.3366
173.0097,87.9205,1006.8487,2.3366
172.7214,87.6592,1006.8487,2.3366
172.4308,87.3898,896.2844,2.3696
172.1381,87.1125,896.2844,2.3696
171.8433,86.8274,896.2844,2.3696
171.5465,86.5349,896.2844,2.3696
171.2478,86.2350,896.2844,2.3696
170.9471,85.9280,788.1511,2.3833
170.6447,85.6142,788.1511,2.3833
170.3406,85.2936,788.1511,2.3833
170.0348,84.9666,788.1511,2.3833
169.7274,84.6332,788.1511,2.3833
169.4186,84.2938,684.6288,2.3595
169.1083,83.9484,684.6288,2.3595
168.7966,83.5973,684.6288,2.3595
168.4836,83.2406,684.6288,2.3595
168.1694,82.8786,684.6288,2.3595
167.8541,82.5114,587.4660,2.2951
167.5377,82.1392,587.4660,2.2951
167.4757,81.7622,587.4660,2.2951
167.6787,81.3806,587.4660,2.2951
168.1468,80.9945,587.4660,2.2951
168.8732,80.7246,497.9573,2.2533
169.8458,80.7082,497.9573,2.2533
171.0476,81.0399,497.9573,2.2533
172.4548,81.7719,497.9573,2.2533
174.0366,82.9226,497.9573,2.2533
175.7539,84.4833,416.9492,2.1854
177.5616,86.4227,416.9492,2.1854
179.4130,88.6900,416.9492,2.1854
181.2656,91.2170,416.9492,2.1854
183.0849,93.9233,416.9492,2.1854
184.8457,96.7229,1020.5358,2.0937
186.5320,99.5325,1020.5358,2.0937
188.1344,102.2775,1020.5358,2.0937
189.6483,104.8976,1020.5358,2.0937
191.0725,107.3476,1020.5358,2.0937
192.4079,109.5974,1689.5658,1.9815
193.6573,111.6303,1689.5658,1.9815
194.8239,113.4409,1689.5658,1.9815
195.9119,115.0325,1689.5658,1.9815
196.9252,116.4147,1689.5658,1.9815
197.8683,117.6017,2418.7737,1.8524
198.7453,118.6105,2418.7737,1.8524
199.5604,119.4591,2418.7737,1.8524
200.3173,120.1663,2418.7737,1.8524
201.0199,120.7498,2418.7737,1.8524
201.6716,121.2269,2525.3282,1.7107
202.2758,121.6129,2525.3282,1.7107
202.8354,121.9221,2525.3282,1.7107
203.3533,122.1668,2525.3282,1.7107
203.8322,122.3578,2525.3282,1.7107
204.2744,122.5044,2619.5895,1.5606
204.6824,122.6143,2619.5895,1.5606
205.0581,122.6940,2619.5895,1.5606
205.4035,122.7489,2619.5895,1.5606
205.7204,122.7830,2619.5895,1.5606
206.0104,122.8000,2696.3352,1.4064
206.2750,122.8022,2696.3352,1.4064
206.5157,122.7918,2696.3352,1.4064
206.7337,122.7701,2696.3352,1.4064
206.9302,122.7382,2696.3352,1.4064
207.1064,122.6966,2750.9766,1.2519
207.2631,122.6459,2750.9766,1.2519
207.4014,122.5861,2750.9766,1.2519
207.5220,122.5172,2750.9766,1.2519
207.6258,122.4391,2750.9766,1.2519
207.7135,122.3516,2779.8224,1.1009
207.7858,122.2545,2779.8224,1.1009
207.8433,122.1475,2779.8224,1.1009
207.8865,122.0303,2779.8224,1.1009
207.9160,121.9026,2779.8224,1.1009
207.9322,121.7641,2768.6035,0.9563
207.9357,121.6146,2768.6035,0.9563
207.9268,121.4539,2768.6035,0.9563
207.9059,121.2817,2768.6035,0.9563
207.8730,121.1036,2768.6035,0.9563
207.8285,120.9264,2714.9975,0.8206
207.7726,120.7547,2714.9975,0.8206
207.7055,120.6948,2714.9975,0.8206
207.6275,120.6814,2714.9975,0.8206
207.5388,120.6984,2714.9975,0.8206
207.4397,120.7387,2665.5879,0.6955
207.3305,120.7971,2665.5879,0.6955
207.2113,120.8690,2665.5879,0.6955
207.0824,120.9503,2665.5879,0.6955
206.9441,121.0371,2665.5879,0.6955
206.7964,121.1261,2585.2285,0.5824
206.6396,121.2142,2585.2285,0.5824
206.4739,121.2987,2585.2285,0.5824
206.2994,121.3774,2585.2285,0.5824
206.1164,121.4482,2585.2285,0.5824
205.9250,121.5093,2476.7787,0.8625
205.7253,121.5593,2476.7787,0.8625
205.5175,121.5969,2476.7787,0.8625
205.3017,121.6212,2476.7787,0.8625
205.0781,121.6312,2476.7787,0.8625
204.8468,121.6263,2344.0010,1.1870
204.6079,121.6060,2344.0010,1.1870
204.3616,121.5698,2344.0010,1.1870
204.1080,121.5175,2344.0010,1.1870
203.8472,121.4488,2344.0010,1.1870
203.5793,121.3637,2191.3447,1.5527
203.3046,121.2621,2191.3447,1.5527
203.0230,121.1440,2191.3447,1.5527
202.7348,121.0094,2191.3447,1.5527
202.4400,120.8585,2191.3447,1.5527
202.1388,120.6915,2023.6986,1.5744
201.8312,120.5084,2023.6986,1.5744
201.5175,120.3095,2023.6986,1.5744
201.1977,120.0951,2023.6986,1.5744
200.8721,119.8653,2023.6986,1.5744
200.5406,119.6204,1846.1339,1.5954
200.2034,119.3607,1846.1339,1.5954
199.8607,119.0864,1846.1339,1.5954
199.5125,118.7979,1846.1339,1.5954
199.1591,118.4953,1846.1339,1.5954
198.8005,118.1791,1663.6529,1.6122
198.4369,117.8495,1663.6529,1.6122
198.0683,117.5068,1663.6529,1.6122
