G,I,GI,II
89.7205,26.2709,0.0000,0.0000
89.7205,26.2708,0.0000,0.0000
89.7204,26.2707,0.0000,0.0000
89.7204,26.2706,0.0000,0.0000
89.7204,26.2705,0.0000,0.0000
89.7204,26.2705,0.0000,0.0000
89.7204,26.2704,0.0000,0.0000
89.7204,26.2703,0.0000,0.0000
89.7204,26.2702,0.0000,0.0000
89.7203,26.2701,0.0000,0.0000
89.7203,26.2701,0.0000,0.0000
89.7203,26.2700,0.0000,0.0000
89.7203,26.2699,0.0000,0.0000
89.7203,26.2698,0.0000,0.0000
89.7203,26.2698,0.0000,0.0000
89.7203,26.2697,0.0000,0.0000
89.7202,26.2697,0.0000,0.0000
89.7202,26.2696,0.0000,0.0000
89.7202,26.2695,0.0000,0.0000
89.7202,26.2695,0.0000,0.0000
89.7202,26.2694,0.0000,0.0000
89.7202,26.2694,0.0000,0.0000
89.7202,26.2693,0.0000,0.0000
89.7202,26.2692,0.0000,0.0000
89.7202,26.2692,0.0000,0.0000
89.7201,26.2691,0.0000,0.0000
89.7201,26.2691,0.0000,0.0000
89.7201,26.2690,0.0000,0.0000
89.7201,26.2690,0.0000,0.0000
89.7201,26.2689,0.0000,0.0000
89.7201,26.2689,0.0000,0.0000
89.7201,26.2689,0.0000,0.0000
89.7201,26.2688,0.0000,0.0000
89.7201,26.2688,0.0000,0.0000
89.7200,26.2687,0.0000,0.0000
89.7200,26.2687,0.0000,0.0000
89.7200,26.2687,0.0000,0.0000
89.7200,26.2686,0.0000,0.0000
89.7200,26.2686,0.0000,0.0000
89.7200,26.2685,0.0000,0.0000
89.7200,26.2685,0.0000,0.0000
89.7200,26.2685,0.0000,0.0000
89.7200,26.2684,0.0000,0.0000
89.7200,26.2684,0.0000,0.0000
89.7200,26.2684,0.0000,0.0000
89.7199,26.2683,0.0000,0.0000
89.7199,26.2683,0.0000,0.0000
89.7199,26.2683,0.0000,0.0000
89.7199,26.2682,0.0000,0.0000
89.7199,26.2682,0.0000,0.0000
89.7199,26.2682,0.0000,0.0000
89.7199,26.2681,0.0000,0.0000
89.7199,26.2681,0.0000,0.0000
89.7199,26.2681,0.0000,0.0000
89.7199,26.2681,0.0000,0.0000
89.7199,26.2680,0.0000,0.0000
89.7198,26.2680,0.0000,0.0000
89.7198,26.2680,0.0000,0.0000
89.7198,26.2680,0.0000,0.0000
89.7198,26.2679,0.0000,0.0000
89.7198,26.2679,0.0000,0.0000
89.7198,26.2679,0.0000,0.0000
89.7198,26.2679,0.0000,0.0000
89.7198,26.2678,0.0000,0.0000
89.7198,26.2678,0.0000,0.0000
89.7198,26.2678,0.0000,0.0000
89.7198,26.2678,0.0000,0.0000
89.7197,26.2677,0.0000,0.0000
89.7197,26.2677,0.0000,0.0000
89.7197,26.2677,0.0000,0.0000
89.7197,26.2677,0.0000,0.0000
89.7197,26.2676,0.0000,0.0000
89.7197,26.2676,0.0000,0.0000
89.7197,26.2676,0.0000,0.0000
89.7197,26.2676,0.0000,0.0000
89.7197,26.2676,0.0000,0.0000
89.7197,26.2675,0.0000,0.0000
89.7197,26.2675,0.0000,0.0000
89.7196,26.2675,0.0000,0.0000
89.7196,26.2675,0.0000,0.0000
89.7196,26.2674,0.0000,0.0000
89.7196,26.2674,0.0000,0.0000
89.7196,26.2674,0.0000,0.0000
