G,I,GI,II
130.6102,19.2943,0.0000,0.0000
130.6025,19.2845,0.0000,0.0000
130.5948,19.2747,0.0000,0.0000
130.5871,19.2650,0.0000,0.0000
130.5795,19.2554,0.0000,0.0000
130.5720,19.2458,0.0000,0.0000
130.5646,19.2363,0.0000,0.0000
130.5572,19.2268,0.0000,0.0000
130.5498,19.2174,0.0000,0.0000
130.5426,19.2080,0.0000,0.0000
130.5353,19.1987,0.0000,0.0000
130.5282,19.1895,0.0000,0.0000
130.5211,19.1803,0.0000,0.0000
130.5141,19.1711,0.0000,0.0000
130.5071,19.1621,0.0000,0.0000
130.5002,19.1530,0.0000,0.0000
130.4933,19.1441,0.0000,0.0000
130.4865,19.1352,0.0000,0.0000
130.4798,19.1263,0.0000,0.0000
130.4731,19.1175,0.0000,0.0000
130.4665,19.1088,0.0000,0.0000
130.4600,19.1002,0.0000,0.0000
130.4535,19.0915,0.0000,0.0000
130.4471,19.0830,0.0000,0.0000
130.4407,19.0745,0.0000,0.0000
130.4344,19.0661,0.0000,0.0000
130.4281,19.0577,0.0000,0.0000
130.4219,19.0494,0.0000,0.0000
130.4158,19.0412,0.0000,0.0000
130.4097,19.0330,0.0000,0.0000
130.4037,19.0249,0.0000,0.0000
130.3977,19.0168,0.0000,0.0000
130.3918,19.0088,0.0000,0.0000
130.3860,19.0009,0.0000,0.0000
130.3802,18.9930,0.0000,0.0000
130.3745,18.9852,0.0000,0.0000
130.3688,18.9774,0.0000,0.0000
130.3632,18.9697,0.0000,0.0000
130.3577,18.9621,0.0000,0.0000
130.3522,18.9545,0.0000,0.0000
130.3467,18.9470,0.0000,0.0000
130.3413,18.9396,0.0000,0.0000
130.3360,18.9322,0.0000,0.0000
130.3307,18.9249,0.0000,0.0000
130.3255,18.9176,0.0000,0.0000
130.3203,18.9104,0.0000,0.0000
130.3152,18.9033,0.0000,0.0000
130.3102,18.8962,0.0000,0.0000
130.3052,18.8892,0.0000,0.0000
130.3002,18.8822,0.0000,0.0000
130.2953,18.8753,0.0000,0.0000
130.2905,18.8685,0.0000,0.0000
130.2857,18.8617,0.0000,0.0000
130.2810,18.8550,0.0000,0.0000
130.2763,18.8483,0.0000,0.0000
130.2717,18.8417,0.0000,0.0000
130.2671,18.8352,0.0000,0.0000
130.2626,18.8287,0.0000,0.0000
